Unnamed: 0,hsa-mir-210,hsa-mir-944,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-6499,hsa-mir-139,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-628,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-56-A5DR-01,2698,1142,33773,55882,158,340,17,20,218,5,247413,1602,19,3,14,0,0,0,0,0,0
TCGA-56-A62T-01,10213,5052,76023,158470,249,1426,303,301,925,24,205232,2938,54,60,34,6,17,0,0,222,0
TCGA-58-8386-01,4945,98,28000,20359,70,459,12,201,1726,4,36491,4573,15,7,37,1,0,0,0,0,0
TCGA-58-8387-01,5735,892,21872,31214,52,7,5,62,66,28,30884,823,17,0,57,1,7,2,0,0,0
TCGA-58-8388-01,9916,473,57198,26354,75,68,7,112,234,13,63066,1647,14,0,28,1,9,0,1,0,1
TCGA-58-8390-01,10991,1521,175790,149287,493,9,32,167,1545,29,381815,2943,66,5,111,0,0,0,1,0,0
TCGA-58-8391-01,4938,1190,97640,76875,169,2,102,51,107,14,99688,1512,19,13,20,0,0,0,0,0,0
TCGA-58-8392-01,23910,1130,65234,136515,127,2,21,117,676,41,133007,2161,53,3,60,0,11,0,0,0,0
TCGA-58-8393-01,10166,1243,64393,34239,22,354,43,86,487,7,44923,2042,27,1,63,0,0,0,0,0,0
TCGA-58-A46J-01,7157,1279,51439,58972,75,126,25,601,353,15,88789,6828,38,0,24,0,1,2,2,0,0
TCGA-58-A46K-01,9520,3692,59349,127588,303,217,61,60,135,25,217504,857,26,0,92,0,4,1,5,0,2
TCGA-58-A46L-01,13554,479,49152,60458,121,8,0,202,84,7,98520,1618,38,0,40,0,0,0,1,0,0
TCGA-58-A46M-01,12490,1605,41617,55306,251,69,21,77,90,7,140858,1369,42,2,15,0,15,0,31,0,0
TCGA-58-A46N-01,8798,1583,83576,112815,284,237,18,44,687,14,163047,532,21,0,4,0,0,1,0,2,1
TCGA-60-2695-01,7774,1,1482,69419,211,19,0,43,384,49,142041,422,11,3,181,0,0,0,2,0,0
TCGA-60-2696-01,1256,498,20444,11344,28,216,4,51,604,5,22157,1234,7,6,173,0,0,0,0,0,0
TCGA-60-2697-01,637,25,1707,16798,35,7,1,249,411,4,33079,5195,7,2,34,4,0,0,0,0,0
TCGA-60-2698-01,2251,165,5702,33830,57,406,15,90,1958,1,53988,3219,43,4,108,0,0,2,0,0,0
TCGA-60-2703-01,4497,283,43455,24821,20,66,21,104,1060,18,25871,2245,11,11,11,2,0,0,0,0,0
TCGA-60-2704-01,14941,568,20232,33518,62,20,16,337,464,10,60687,3171,32,10,57,0,13,0,0,0,0
TCGA-60-2706-01,2564,5,3170,39471,74,266,1,17,441,5,41055,627,17,0,129,0,0,0,0,0,0
TCGA-60-2708-01,7983,316,28712,56578,94,143,19,40,112,12,67920,430,57,29,60,0,0,0,0,0,0
TCGA-60-2710-01,5371,592,14563,39887,81,1,7,42,240,15,74140,953,11,0,176,0,1,0,0,0,0
TCGA-60-2711-01,8108,617,15364,61871,122,18,2,50,262,19,93673,461,24,0,202,0,0,0,0,0,0
TCGA-60-2712-01,3122,93,12004,6359,21,4,5,40,56,4,16543,384,21,0,100,0,1,16,0,2,2
TCGA-60-2713-01,7083,116,8736,21421,50,27,1,29,49,7,41910,186,11,4,71,0,3,1,0,0,0
TCGA-60-2714-01,6761,3,194,25511,53,5,0,54,388,11,45357,697,8,20,85,0,0,189,1,0,51
TCGA-60-2716-01,1498,94,61964,17920,73,284,6,9,109,1,49831,330,2,0,34,0,0,0,0,1,0
