Unnamed: 0,CCNB1,ZWINT,PBK,KPNA2,HOXC13,ATAD2,HOXA10,WWC2,PRKCE,CKS1B,HECW2,TGFBR2,RIMS2,PREX2,SLC1A1,LIMCH1,GGH,UTRN,TMEM100,TSKU,GPD1L,CITED2,PTPRM,LEPR,GIMAP6,TFR2,RECK,MAGEA10,ELOVL4,GATA6,SLC7A11,LRRK2,CSAG1,SLC19A3,MSR1,GRM4,MAGEA12,ARHGAP29,PAX3,GRIP1,C2,DDAH1,CPB2,KCNQ5,GMFG,LEFTY2,ITM2A,TBX18,ENPP4,BEND6,AKAP12,NR3C2,LST1,ANXA3,LPCAT1,ULBP2,PGC,COX7B2,VTN,SERTM1,PRDM16,TLR8,POPDC3,PAH,VWDE,SELE,GREB1L,ADAMDEC1,SYNDIG1,PROK2,GTSF1,GREM2,RND2,SLC22A3,HOXA9,AHSG,SLC38A4,RBP4,GLDC,ELAVL2,MAEL,SERPIND1,F2,TM4SF5
TCGA-85-A511-01,4655,2415,877,10410,256,4882,277,930,342,2534,353,3374,252,161,68,1451,3450,3720,39,6317,746,1048,1431,235,454,172,747,251,195,263,2949,470,3,108,1514,48,5,392,5,265,865,679,4,421,707,5,278,529,664,262,1471,124,345,1443,5799,501,18,0,12,8,37,86,153,6,899,217,45,539,444,15,882,28,285,72,60,10,30,28,369,7,19,24,0,0
TCGA-85-A512-01,2822,4042,2041,6582,356,3560,6,993,275,3560,371,1009,1131,83,77,294,3312,5558,20,3989,1240,524,722,303,185,22,288,4,762,62,734,585,1,6,484,17,0,240,43,372,262,571,0,134,334,4,157,43,227,177,467,59,316,2509,2563,389,10,0,5,13,32,36,64,12,230,154,40,463,76,0,4,38,68,12,58,69,23,139,12,6,1,4,4,0
TCGA-85-A513-01,793,1123,133,3423,12,1309,118,675,621,641,507,5174,114,215,898,1914,996,2991,645,960,1586,7314,1716,283,810,64,331,1,7,519,385,7302,10,243,1933,8,3,1732,0,811,988,2963,541,21,1827,26,843,3,881,85,438,625,930,1285,36361,352,19992,0,43,41,1081,191,7,4,47,99,60,1139,198,2,46,18,45,765,18,1,10,235,70,5,6,58,2,1
TCGA-85-A53L-01,7928,2524,1771,12830,121,3788,615,636,752,4519,224,3050,1118,52,673,2494,5624,3493,36,5481,823,2627,1293,549,93,219,280,1,72,372,1162,832,56,109,420,57,0,452,59,527,536,408,16,330,523,2,219,841,135,406,410,137,289,3823,6314,1365,130,74,10,5,71,17,288,2,675,125,181,253,161,32,6,73,149,156,11,22,20,183,29,0,3,173,3,1
TCGA-85-A5B5-01,2828,1013,915,6085,496,3212,246,553,1216,1522,220,1241,136,86,24,630,2523,2961,21,2853,910,189,552,254,177,111,349,240,179,121,14254,220,0,3,323,32,1,213,274,811,295,862,0,371,403,1,230,57,523,138,348,38,305,4110,2158,131,7,0,20,1,79,40,8,56,28,110,280,182,240,0,1714,9,811,28,310,40,64,423,15,7,16,11,0,0
TCGA-90-6837-01,6517,1217,772,7442,179,3555,48,976,636,1697,328,4872,96,155,690,797,1511,3385,40,5851,952,1528,1451,363,595,107,501,10,73,156,1310,343,136,58,4930,14,57,1133,1,65,1725,603,6,28,1410,3,314,21,950,123,1542,56,779,2562,7180,4010,48,2,15,0,46,445,262,13,41,30,27,994,474,18,32,31,98,176,3,0,478,101,27,6,8,8,2,0
TCGA-90-7767-01,5962,5177,952,19958,23,7118,8,1391,324,3898,918,5041,202,121,355,2797,2725,4541,23,3875,896,1690,3394,488,929,147,1037,2,596,911,313,284,785,16,1046,1740,17,8417,296,1710,695,731,4,215,718,1,599,308,297,192,1380,448,485,499,7732,470,4,0,5,0,31,164,416,47,792,3479,42,1224,743,11,2065,62,905,15856,2,5,139,83,15,304,13,12,0,1
TCGA-90-7769-01,4456,2518,1420,14443,185,7185,360,383,752,1986,293,1205,527,66,148,3088,3349,4342,15,7388,1641,1028,1498,536,152,294,367,1,1827,53,11994,700,1,55,321,1,0,152,1,515,255,1408,1,545,210,0,98,1002,143,147,434,99,138,3119,2299,753,1,0,6,57,29,37,11,4,803,172,29,101,171,10,8,8,545,8,14,41,57,52,496,1,1039,3,2,0
TCGA-90-A4ED-01,1734,1482,426,2807,1401,1232,4,452,144,1298,793,4458,10,233,243,1098,825,793,651,8178,841,1843,526,180,188,22,393,951,336,137,119,263,52,12,526,2,80,5431,55,693,537,981,38,4,612,5,1110,111,128,9,966,1036,198,899,4896,22,27,1,29,1,50,57,135,3,4,20,28,340,9,29,607,31,512,816,6,1,172,739,11,152,7,6,1,0
TCGA-90-A4EE-01,5312,2069,1885,11681,36,4793,303,643,1596,1891,546,3568,292,95,258,742,2236,2800,144,1614,1067,2487,1206,228,1728,290,388,5,306,540,392,2379,108,72,3898,59,0,1149,40,384,2196,810,9,1408,1711,8,1334,15,900,100,762,199,996,276,8712,83,309,0,32,2,83,1037,507,74,223,305,164,3552,623,72,20,148,87,935,104,5,20,67,76,1,5,137,2,1
TCGA-90-A59Q-01,1670,2073,529,3957,228,2323,226,581,317,1356,211,3192,7,121,186,2320,949,2570,30,3358,580,1163,3317,993,698,92,291,3,59,231,1196,1607,11,17,1118,19,4,736,29,167,1110,1349,8,14,1519,1,914,1322,911,84,311,51,1176,3215,3743,971,2,2,9,0,20,379,12,11,405,27,60,513,256,65,26,22,13,591,75,4,195,5,524,18,1,2,2,12
TCGA-92-8063-01,1883,2482,531,3909,175,2855,340,547,795,2482,273,3336,597,54,263,1442,1466,4530,57,7092,702,700,461,173,257,703,331,393,20,140,2874,220,86,99,995,43,74,1110,1,460,465,1050,2,25,307,14,109,2,774,431,1290,48,311,423,3652,245,23,0,4,140,1069,63,1053,36,50,10,160,216,224,4,30,6,114,60,9,30,38,8,163,1,19,21,0,4
