Unnamed: 0,CCNB1,ZWINT,PITX1,PBK,GJB3,KPNA2,HOXC13,LYPD3,ATAD2,HOXA10,GJB2,RHCG,PRKCE,KRT6C,SPRR1B,HECW2,TGFBR2,IL20RB,S100A7,PREX2,SPRR2D,SLC1A1,LIMCH1,LY6D,UTRN,TMEM100,SPRR2A,TSKU,GPD1L,CITED2,PTPRM,SPRR3,SBSN,BNC1,RECK,SLC7A11,PROM2,LRRK2,DSC2,CSTA,PAX3,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,FGFBP1,SERTM1,PRDM16,SELE,TMEM45A,PROK2,GREM2,HOXA9,FABP4,ELAVL2,KRT1
TCGA-66-2759-01,9042,2486,22111,929,3177,13893,626,8915,4566,336,8663,20,801,9507,19633,324,2657,5246,132,129,7918,97,572,137,2154,30,21408,17966,1366,2509,676,8547,1525,4990,556,18809,6175,501,34910,18349,111,652,104,1,14,944,395,3711,2389,1651,0,200,29,13949,134,10,24,8411,0,9
TCGA-66-2763-01,6021,4529,30387,685,3934,15910,99,3972,8452,163,69726,18566,1574,6447,20620,501,3182,1294,147,160,2944,883,1117,233,3050,163,10020,5819,5297,3083,1503,59065,10723,807,604,290,1666,2410,6490,40596,15,1303,248,24,4,644,515,9775,154,9527,0,250,71,3087,8,92,10,45,69,50
TCGA-66-2765-01,8050,2868,3029,1130,7100,12398,60,14948,2425,5,35000,10108,463,10914,1854,437,5201,6019,4497,105,722,319,983,12516,2356,210,3632,12130,823,3627,673,123,37,10702,256,315,15604,1348,5446,6031,1,734,311,4,520,405,512,9614,1725,7270,2,79,155,4601,15,16,3,53,8,531
TCGA-66-2766-01,7236,5356,15346,1499,723,10868,371,5258,3368,188,10472,11188,588,11766,6946,492,1728,226,32,44,113,358,1265,61,1772,139,884,6685,1181,1810,296,4014,243,2990,421,13734,8556,175,3637,6815,8,728,685,2,673,1482,350,2445,647,12241,1273,403,24,2252,17,4,18,46,0,1
TCGA-66-2767-01,3487,3050,11944,1492,2190,9210,677,11443,3649,414,6376,21747,818,1668,8503,522,6391,6302,73,307,4207,1142,2029,1182,4596,358,3895,3206,2498,4080,1821,22683,3150,1543,743,695,5446,6375,9627,19006,201,1418,421,41,9,1328,777,11861,476,1293,41,202,1105,4824,14,61,60,1326,2,242
TCGA-66-2768-01,6977,5879,12838,1778,9912,16765,1487,30552,3742,481,32883,5693,931,1661,7607,492,6308,8744,2057,89,5916,296,377,34011,1458,57,2252,17902,327,2101,1726,478,2560,4241,279,1506,25066,391,42804,4846,97,530,329,0,42,222,4675,9975,5301,4349,0,199,7,17686,125,18,28,1560,132,26
TCGA-66-2770-01,5852,2527,14177,2576,1263,11669,308,18612,4280,102,15181,6301,661,1281,10822,664,4372,742,1259,143,8338,587,1903,715,5086,159,17313,11573,693,1878,1280,18517,2100,5709,821,10993,13280,4318,11212,12305,3,957,327,7,1265,647,1174,9761,252,11610,91,652,134,2759,12,24,72,182,1,148
TCGA-66-2771-01,5041,2553,7548,1365,2048,8385,70,3104,2252,62,5334,32167,627,10390,14246,258,3418,433,10302,101,2416,608,857,8531,1410,379,10833,2366,1903,2940,753,14131,635,513,261,205,1489,4141,7654,42339,5,911,20,11,115,1036,258,6073,242,4665,6,75,66,1049,38,15,6,402,0,22
TCGA-66-2777-01,3365,2886,2297,672,1768,11284,21,12092,3039,197,10288,11247,860,1006,7579,383,5635,80,3067,171,6515,280,3117,103,3221,167,4288,11077,1723,4094,837,2142,3065,3043,346,2471,9387,5118,10334,8778,1,1575,202,10,478,741,1339,11957,62,6324,32,280,161,3185,27,18,52,678,3,95
TCGA-66-2780-01,3466,2725,3626,614,8445,5396,612,10495,3475,532,21634,2947,791,377,1569,494,6807,5044,697,92,2081,272,502,26604,1869,202,1306,7819,797,1405,954,83,162,6068,490,413,23069,310,5374,22703,7,586,206,7,713,339,1097,4712,1491,4104,1,26,24,9229,59,46,23,32,0,38
