Unnamed: 0,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-891a,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-18-3406-01,7903,16366,3029,11,138,379,2,7317,189,15,1,4,0,0,0,0,0,2
TCGA-18-3407-01,13099,55809,32106,117,67,112,3,50972,822,46,5,1,1,0,0,0,0,1
TCGA-18-3408-01,5242,22002,17351,69,142,123,8,21550,291,21,270,0,0,1,0,0,1,0
TCGA-18-3410-01,2262,20196,44438,212,26,27,7,91264,178,38,36,0,0,1,0,0,14,0
TCGA-18-3411-01,1781,16776,28316,97,148,65,8,35861,445,35,16,1,0,0,0,0,0,0
TCGA-18-3412-01,4488,8631,23986,66,98,131,8,37466,128,38,7,0,0,1,0,0,0,0
TCGA-18-3414-01,2472,19023,6256,27,254,61,2,13498,219,15,1,3,0,1,0,0,0,0
TCGA-18-3415-01,7323,21388,19627,39,2,42,9,18810,168,65,8,1,0,0,0,0,0,0
TCGA-18-3416-01,6514,37273,15813,100,115,182,17,25717,372,58,0,0,0,0,1,1,0,0
TCGA-18-3417-01,2636,15452,36794,52,38,143,3,55068,297,7,7,0,0,0,0,0,0,0
TCGA-18-3419-01,2872,9661,14997,34,15,26,30,14037,85,26,5,0,0,0,0,0,0,0
TCGA-18-3421-01,6184,16927,33185,52,1110,150,29,26912,458,103,55,3,0,2,0,0,0,0
TCGA-18-4086-01,5639,19029,25672,35,5,123,11,32816,268,10,375,0,0,0,0,1,1,0
TCGA-18-4721-01,3154,13525,27778,21,28,183,18,28181,316,8,20,1,1,1,0,13,4,0
TCGA-18-5592-01,7300,48789,36435,83,0,77,5,44612,127,9,67,0,0,0,0,0,0,0
TCGA-18-5595-01,19487,24593,21052,44,154,182,6,27741,516,13,2,0,0,0,0,0,0,0
TCGA-21-1075-01,18371,29095,107114,109,110,135,27,89167,431,8,239,0,0,32,0,0,2,0
TCGA-21-1076-01,2269,7300,25809,65,9,158,3,51130,1088,16,51,1,0,0,12,0,2,2
TCGA-21-1077-01,3577,15135,34969,77,14,178,6,59332,725,26,154,0,3,77,0,0,0,1
TCGA-21-1078-01,6859,33027,26036,101,1,64,5,60812,192,17,5,0,0,0,0,0,0,0
TCGA-21-1079-01,5949,53544,22016,75,1218,341,8,61411,322,52,1,9,0,0,0,0,0,0
